,title,lyrics,text_author,composer,artist,nr
20,Zielone szkiełko,stać słońce łapię palka czas nitka babi rok patrzyć świat szkło krata dno butelka włos rozwiać głaskać twarz świat koniec zielony człowiek słońce człowiek leżeć ziemia wdychać zapach trawić obłoki skłębić zielony szkiełko prawda znać wieć iść schylić palka ziębnąć przyjść świta wiedzieć rosa wstyd człowiek ziemia człowiek widmo lecieć przepaść widzieć czarny dno słyszeć krewić stygnąć żyła spływać twarz powietrze prąd cela znaleźć wybrać znaleźć droga któyy chcieć przejść drugi sn strona zielony szkiełko przecinać dłoń spadać ziemia promień,,,Robert Kasprzycki,1217
21,Ballada o św. Mikołaju,rozstrzelać chata rozpalić ogień rozwalić piec pieśń wynieść węgleł naciągnąć drzazga gonty błękitny płachta niebo malować nowy wioska dolina święty mikołaj opowiedzieć pieśń śpiewać paść koń chcieć gadać polski wypalić źrenica deszcz płynąć ślepiec nauczyć dziecko łemkowski raz żebrać malować wioska święty mikołaj,Andrzej Wierzbicki,Andrzej Wierzbicki,SETA,871
22,Ballada o świętym Mikołaju,rozstrzelić chata rozpalić ogień rozwalić piec pieśń wynieść węgleł naciągnąć drzazga gonty błękitny płachta niebo malować nowy wioska dolina święty mikołaj opowiedzieć pieśń śpiewać paść koń chcieć gadać polski wypalić źrenica deszcz płynąć ej ślepiec nauczyć dziecko łemkowski raz żebrać malować wioska święty mikołaj opowiedzieć pieśń śpiewać paść koń,Andrzej Wierzbicki,Andrzej Wierzbicki,Seta,217
23,Piosenka turystyczna 2,rajd wyruszać dobry myślić buta mocny zawiązać plecak zarzucić pomyśleć fajn siedzieć ognisko lasa kłaść cień głowa iskra błyskać kilometr zachód słońce echo nieść góry pieśń radosny pieśń koniec góry stały niebo postrzępionyme lasa zielony pępek bania cerkiew zanurzyć rozbić namiota zaraza potok rozpalić ognisko dymić zakręcić łezka oko kilometr zachód słońce echo nieść góry pieśń radosny pieśń koniec wieczór pierwszy gwiazda wystrzelić bełty korki kwaśny cierpki smak wino przełamać bariera pewny dziewczyna namiota leże wcal brzydki pierwszy lód ranka blady echo nieść góry zew miłosny serenada obudzić południe potok toczyć namiot woda porywisty sn budzić dziecko płakać żona nękać podziękować chcieć stachurzć krzysi myszkowski,Krzysztof Jurkiewicz,Mariusz Kamper,Słodki Całus od Buby,352
24,Piosenka turystyczna II,rajd wyruszać dobry myślić buta mocny zawiązać plecak zarzucić pomyśleć fajn siedzieć ognisko lasa kłaść cień głowa iskra błyskać kilometr zachód słońce echo nieść góry pieśń radosny pieśń koniec góry stały niebo postrzępić lasa zielony pępek bania cerkiew zanurzyć rozbić namiota zaraza potok rozpalić ognisko dymić zakręcić łezka oko kilometr zachód słońce echo nieść góry pieśń radosny pieśń koniec wieczór pierwszy gwiazdka wystrzelić bełty korki kwaśny cierpki smak wino przełamać bariera pewny dziewczę namiota leże wcal brzydki pierwszy lód ranka blady echo nieść góry zew miłosny serenada obudzić południe potok toczyć namiot woda porywisty sn budzić dziecko płakać żona nękać podziękować chcieć stachurzć krzysi myszkowski,"K. Jurkiewicz, M. Kamper",K. Jurkiewicz,Słodki Całus od Buby,1268
25,Łabędzi puch,monokl oko podróż wóda śpiew opona nitka drogi sala lustrzany świta blady świta wielki bal biały latawiec góra gwiazda chmurka dmuchawiec ptasi gniazdo jutro niezmiennia kołysać bezsenna kołysać ściana pijany świat koło kręty niezmiennia kołysać bezsenna kołysać różowy tęczowy nieść wiatr mknąć lekki łabędź pucha twarz ekran nuda fałsz mydlany piano uliczny plansza pieski niebieski rzucik krzyżyk raja święty kolęda przyjęcie raut poranny twarz wytworny kształt kłębić wczorać chwila trwać niezmiennia kołysać bezsenna kołysać ściana pijany świat koło kręty niezmiennia kołysać bezsenna kołysać różowy tęczowy nieść wiatr mknąć lekki łabędź pucha,,,Wolna Grupa Bukowina,311
26,Łabędzi puch,monokl oko podróż wóda śpiew opona nitka drogi sala lustrzany świta blady świta wielki bal biały latawiec góra gwiazda chmurka dmuchawiec ptasi gniazdo jutro niezmiennia kołysać bezsenna kołysać ściana pijany świat koło kręty niezmiennia kołysać bezsenna kołysać różowy tęczowy nieść wiatr mknąć lekki łabędź pucha lekki łabędź pucha lekki łabędź pucha twarz ekran nuda fałsz mydlany piano uliczny plażyć pieski niebieski rzucik krzyżyk raja święty kolęda przyjęcie rout poranny twarz wytworny kształt kłębić wczorać chwila trwać,Wojciech Jarociński,,Wolna Grupa Bukowina,1443
27,Bieszczadzki trakt,nadejść czas wabić ogień blask polano królować zły gwiezdny pył ogień łza wycisnąć dymić tańczyć iskra gwiazda śpiewać radosny czas śpiewać raz choć rok młody szybki płynąć wiedzieć starzeć lis lichy śpać przygoda drzwi chodzić ściana las lśnić oko sowa wilczy kwadratoł ryk powietrze drżeć gwiazda przyjazny śpiewać radosny czas śpiewać raz choć rok młody szybki płynąć wiedzieć starzeć dorzuć ogień drwa góra niech płynąć śpiew wiatr ponieść wilgotny świat wieć spotkać połączyć bieszczadzki trakt śpiewać radosny czas śpiewać raz choć rok młody szybki płynąć wiedzieć starzeć,Bogdan Adamek,Bogdan Adamek,,8
28,Bieszczadzki trakt,nadejść czas bawić ogień blask polano królować zły gwiezdny pył ogień łza wycisnąć dymić tańczyć iskra gwiazda śpiewać radosny czas śpiewać raz choć rok młody szybki płynąć wiedzieć starzeć lis lichy śpać przygoda drzwi chodzić ściana las lśnić oko sowa wilczy kwadratoł ryk powietrze drżeć gwiazda przyjazny śpiewać dorzuć ogień drwa góra niech płynąć śpiew wiatr ponieść wilgotny świat wieć spotkać połączyć bieszczadzki trakt śpiewać,Bogusław Adamek,Bogusław Adamek,Wołosatki,461
29,Noc w bacówce,porwać deszcz przegonić wiatr zdać siebie przygodny dom miejsce zagrzać górski niba niebo dziura niebo wiatr łatany bacówka mówić dotyk ręka psuć chwila mroka sprzymierzeniec przygarnąć ciepły ręka echo stary bacówka niebo rodzić przyjaźń dziura niebo wiatr łatany bacówka mówić dotyk ręka psuć chwila,,,,404
30,Noc w bacówce,dorwać deszcz przegonić wiatr zdać siebie przygodny dom miejsce zagrzać górski niba niebo dziura niebo wiatr łatany bacówka mówić dotyk ręka psuć chwila mroka sprzymierzeniec przygarnąć ciepły ręka echo stary bacówka niebo rodzić przyjaźń cosoba,,R. Pomorski,Wołosatki,463
31,Niebo do wynajęcia,tablica ogłoszenie hasło lokal przeczytać przedwczorać ogłoszenie ciekawy tablica ogłoszenie fioletowy flamaster nabazgrać słowo dziwny treść spokój święty święty pański szklanka ciepły herbata poczęstować pomyśleć świetnia niebo ziemia grzech nikt przeliczać nikt szperać szuflada pomyśleć świetnia spojrzeć adres deszcz rozmyć litera wiedzieć spokój święty święty pański szklanka ciepły herbata poczęstować wrócić dom błękit beton splatać babla wysoki sięgać chmura zaparzyć herbata pokój świat myślić stracić pewnie spokój święty święty pański szklanka ciepły herbata poczęstować niebo wynajęcie niebo widok raja niebo wynajęcie niebo widok niebo wynajęcie niebo widok raja niebo wynajęcie niebo niebo wynajęcie niebo widok raja niebo wynajęcie niebo,,,Robert Kasprzycki,225
32,Niebo do wynajęcia,tablica ogłoszenie hasło lokal przeczytać przedwczorać ogłoszenie ciekawy tablica ogłoszenie fioletowy flamaster nabazgrać słowo dziwny treść niebo wynajęcie niebo widok raja spokój święty święty pański szklanka ciepły herbata poczęstować pomyśleć świetnia niebo ziemia grzech nikt przeliczać nikt szperać szuflada pomyśleć świetnia spojrzeć adres deszcz rozmyć litera wiedzieć niebo wrócić dom błękit beton splatać babla wysoki sięgać chmura zaparzyć herbata pokój świat myślić stracić pewnie niebo wynajęcie niebo widok raja spokój święty,,,Robert Kasprzycki,1226
33,Kantyczka z lotu ptaka,patrzyć dobrotliwy bóg ulubiony ludzieek wychodzić rany zboże zginać hardy kark trud patrzyć schylać praca pokorn klęska znosić pytać poprosić ująć trocha łaski niebo dać spokój zamiana chleb udzielić swej miłość sprawiedliwość smuć chrysty chmura widzieć naród bawić chcieć przedmurze pogański krew pławić dymić kuźnia warsztaty praca skarga rok łaski hufiec siła grozić nieczysty dać wsławić chrysty kalwin litwina ubliżać dźwigneień ciężar krzyżni załamać ręka matka boski upadać obyczaj pomóc modły chłostać młodzież szranki ciało stawać nędza gzić krewić gorący sumienie oddech własny trzewia strząsać niedojrzały owoc grzech zbawienie piekło byle żyto uciec czas umierać żyć grzmieć gniew święty handel ludzie zalewać bożyć obcy kupka klient złoty wabić obroża liczyć chciwy żyd niemiec polski czystość kupić dusza kupić ziemia zostawić pośmiewisko hańba talar lepszy kurs wiara wymienić waluta honor pokuta naród tył kwestia naraz wysłuchać zadumać niebieski imię ojciec syn duch,Jacek Kaczmarski,Przemysław Gintrowski,Jacek Kaczmarski; Przemysław Gintrowski,151
34,Kantyczka z lotu ptaka,patrzyć dobrotliwy bóg ulubiony ludzieek wychodzić rany zboże zginać hardy kark trud patrzyć schylać praca pokorn klęska znosić pytać poprosić ująć trocha laski niebo dać spokój zamiana chleb udzielić swej miłość sprawiedliwość smuć chrysty chmura widzieć naród bawić chcieć przedmurze pogański krew pławić dymić kuźnia warsztaty praca skarga rok łaski hufiec siła grozić nieczysty dać wsławić chrysty kalwin litwina ubliżać dźwigneień ciężar krzyżni załamać ręka matka boski upadać obyczaj pomóc modły chłostać młodzież szranki ciało stawać nędza gzić krewić gorący sumienie oddech własny trzewia strząsać niedojrzały owoc grzech zbawienie piekło byle żyto uciec czas umierać żyć grzmieć gniew święty handel ludzie zalewać bożyć obcy kupka klient złoty wabić obroża liczyć chciwy żyd niemiec polski czystość kupić dusza kupić ziemia zostawić pośmiewisko hańba talar lepszy kurs wiara wymienić waluta honor pokuta naród tył kwestia naraz wysłuchać zadumać niebieski imię ojciec syn duch hańba talar,,,Jacek Kaczmarski,674
35,Pożegnanie Liverpoolu,żegnać dostojny starzey porto rzeka mersey żegnać zaciągnąć rejs kalifornia niejeden raz żegnać kochany chwila wypłynąć długi rejs miesiąc widzieć wiedzieć pamiętać zaciągnąć herbaciany kliper dobry statek choć sława zły kapitan starzey burgt pływający piekło zwać żegnać kochany chwila wypłynąć długi rejs miesiąc widzieć wiedzieć pamiętać kapitan płynąć pierwszy raz znać jeśliy dobry żeglarz rada dać toś cholernie wpaść żegnać kochany chwila wypłynąć długi rejs miesiąc widzieć wiedzieć pamiętać żegnać dostojny starzey porto rzeka mersey żegnać wypływać rejs kalifornia wrócić opowiedzieć żegnać kochany chwila wypłynąć długi rejs miesiąc widzieć wiedzieć pamiętać,"Krzysztof Kuza, Jerzy Rogacki",,Cztery Refy,316
36,Pożegnanie Liverpoolu,żegnać dostojny starzey porto rzeka mercey żegnać zaciągnąć rejs kalifornia raz żegnać kochany chwila wypłynąć długi rejs miesiąc widzieć wiedzieć pamiętać zaciągnąć herbaciany kliper dobry statek choć sława zły kapitan starzey burgt pływający piekło zwać żegnać kapitan płynąć pierwszy raz znać jeśliy dobry żeglarz rada dać toś cholernie wpaść żegnać żegnać dostojny starzey porto rzeka mercey żegnać wypływać rejs kalifornia wrócić opowiedzieć żegnać,"Krzysztof Kuza, Jerzy Rogacki",trad.,Cztery Refy,1235
37,Beskid jesienią,pustka świecić hala samotny gniąć świerk granitowy skała zmęczyć rogacz lec słoneczko lidwa wstawać kłaść spać wiatr polano zaczynać liść gnać złoty hora gromadka szukać ptak jesienny porać bliski zima znak buk ogień gorzeć modrzew żółknąć włos rany wschodzić zorza liliowy witać wrzos szałas smutny stać ogień trzaskać pasterz poić źródło owieczka złoty hora gromadka szukać ptak jesienny porać bliski zima znak ucichnąć trąbita juhas zamilknąć śpiew skalny szczyt wiatr śpiewać pośród drzewo południe tatra dumny patrzyć beskidy chmurka rozumny zdobić złoty strój złoty hora gromadka szukać ptak jesienny porać bliski zima znak,,,,106
38,Beskid jesienią (Hora),pustka świecić hala samotny gniąć świerk granitowy skała zmęczyć rogacz lec słoneczko ledwa wstać kłaść spać wiatr polano zaczynać liść gnać złoty hora gromadka szukać ptak jesienny porać bliski zima znak buk ogień gorzeć modrzew pachnieć wrzos rany wschodzić zorza liliowy witać wrzos szałas smutnia stać ogień trzaskać pasterz poić źródło owieczka złoty hora ucichnąć trąbita juhas umilknąć śpiew halny szczyt wiatr śpiewać pośród drzewo południe tatra dumny patrzyć beskidy chmurka rozumny zdobić złoty strój złoty hora,Wawrzyniec Hubka,Jan Busz,Elekt,1139
39,Samotny,parter chata mieszkać kiedyś facet dzień pewny cichy rzec poderwać chcieć dziewczyna zapraszać kino patrzyć prosty oko szepnąć słowo samotny palec pies kochać wiersza stachuyć starzey dobry jazz szczęście żyć rzucać dziewczyna szukać cichy porto okręt zawinąć słowo miłosierdzie padły twierdza cnota chyży pójść lasa ryba brać robak panienka tekst mówić patrzyć prosty twarz samotny palec pies kochać wiersza stachuyć starzey dobry jazz szczęście żyć rzucać dziewczyna szukać cichy porto okręt zawinąć szał pierwszy zryw minąć zakochać dziewczyni któyy żyto zostać chcieć chcieć rzec raz zrozumieć raz echo wyszeptać słowo samotny palec pies kochać wiersza stachuyć starzey dobry jazz szczęście żyć rzucać dziewczyna szukać cichy porto spływać sukinsyn,Leonard Luther,Leonard Luther,,236
40,Preludium dla Leonarda,parter chata mieszkać kiedyś facet dzień pewny cichy rzec zachwycić dziewczyna podrywać kino patrzyć oko szepnąć słowo samotny palec pies kochać wiersza stachuyć starzey dobry jazz szczęście żyć rzucać dziewczyna szukać cichy porto okręt zawinąć słowo miłosierdzie paść niejeden twierdza niejeden cnota pójść chyży lasa ryba brać robak panienka tekst szeptać cichy patrzyć prosty twarz samotny szał pierwszy zryw minąć zakochać dziewczyni któyy żyto zostać chcieć chcieć rzec raz zrozumieć raz echo wyszeptać słowo samotny,Aleksandra Bacińska,Leonard Luther,Leonard Luther,1455
41,Madonna,polski ruski madonna polski starocerkiewny goreć złoty żywy drewny srebro bizantyjski słowiański śnieżnobiały sukienko bielić płótno trumienny deska polski ruski madonna polski starocerkiewny goreć złoty żywy drewny srebro bojarski carski zasmucić kamienny twarz bojarski carski zasmucić chłopski ikona polski ruski madonna polski starocerkiewny goreć złoty żywy drewny srebro,,,,3
42,Polsko-ruska Madonna,polski ruski madonna polski starocerkiewny goreć złoty żywy drewny srebro bizantyjski słowiański śnieżnobiały sukienko bielić płótno trumienny trumienny deska bojarski carski zasmucić kamienny twarz bojarski carski zasmucić chłopski ikona,,,,1134
43,Gloria,chwała najsampierwo ko ko gloria wysokość chwała najsampierwo trawa przychylny kraina dół eden gloria gloria chwała słońce odyniec samotny wstawać rany trzęsawisko nocny góra bieżeć niebo wzbijać chmura czarny biały kieł przebijać bezkrwawy brawo brawo złocista nikt boleć gloria gloria in exelsis sól słońce pochwalić pędzić raz odyniec galopować daleja chwała wietr wieczny młodzik sierota świat ulubieniec los zły ratować kąkol zboże łagodni kołysać morze gloria gloria in excelsis eoli wiatr pochwalić pędzić spół konik galopować pole chwała ptaszka śpiewający chwała ryba pluskać chwała zając łąka zakochany biedronka chwała zima wiosna rok jesień chwała gniew iść poprzez śniegi deszcz blask cień pierś koszula mienie gloria gloria,Edward Stachura,Krzysztof Myszkowski,Stare Dobre Małżeństwo,433
44,Gloria,chwała najsampierwo ko ko gloria wysokość chwała najsampierwo trawa przychylny kraina dół eden gloria gloria chwała słońce odyniec samotny wstawać rany trzęsawisko nocny góry bieżeć niebo wzbijać chmura czarny biały kieł przebijać bezkrwawy brawo brawo złocisty nikt boleć gloria gloria in excelsis sól słońce pochwalić pędzić raz odyniec galopować daleja chwała wietr wieczny młodzik sierota świat ulubieniec los zły ratować kąkol zboże łagodni kołysać morze gloria gloria in excelsis eoli wiatr pochwalić pędzić spół konik galopować pole chwała ptaszka śpiewający chwała ryba pluskać chwała zając łąka zakochany biedronka chwała zima wiosna rok jesień chwała gniew iść poprzez śniegi deszcz blask cień pierś koszula mienie gloria gloria,E. Stachura,K. Myszkowski,Stare Dobre Małżeństwo,1074
